,Time,Age dependency ratio (% of working-age population) [SP.POP.DPND],Population growth (annual %) [SP.POP.GROW],"Population, female [SP.POP.TOTL.FE.IN]","Population, male [SP.POP.TOTL.MA.IN]",Rural population [SP.RUR.TOTL],Urban population [SP.URB.TOTL],"Population, total [SP.POP.TOTL]",Individuals using the Internet (% of population) [IT.NET.USER.ZS],GDP (current LCU) [NY.GDP.MKTP.CN]
0,1973,118.43620050848142,3.48874537597246,6452684,6307721,11254039,1506366,12760405,0.0,17566000000.0
1,1974,118.57583827313178,3.4168934292709,6676963,6526985,11573393,1630556,13203949,0.0,21214000000.0
2,1975,118.7189570630582,3.33633405648364,6902776,6749132,11888901,1763007,13651908,0.0,23934000000.0
3,1976,118.87154632400723,3.24563434304028,7129546,6972722,12198039,1904229,14102268,0.0,29072000000.0
4,1977,118.70361360248076,3.31330443198749,7369217,7208130,12520191,2057155,14577346,0.0,37198000000.0
5,1978,118.17225450778352,3.4392803015393,7626855,7460568,12862782,2224641,15087423,0.0,40994600000.0
6,1979,117.52635175415864,3.47299053516761,7895961,7724653,13214882,2405731,15620613,0.0,46604000000.0
7,1980,116.60060222722109,3.56247231910082,8181266,8005859,13664684,2522440,16187124,0.0,53910002000.0
8,1981,115.54116157251669,3.63268304760596,8483287,8302675,14153755,2632207,16785962,0.0,62016000000.0
9,1982,114.50173761105921,3.65874486828768,8799162,8612329,14663958,2747533,17411491,0.0,70247800000.0
10,1983,113.33230855216485,3.70928851646282,9130745,8938716,15200211,2869250,18069461,0.0,79592200000.0
11,1984,112.15089553241762,3.71398490244611,9474893,9278283,15756606,2996570,18753176,0.0,89242600000.0
12,1985,111.08569441811443,3.65950445523804,9826764,9625397,16324448,3127713,19452161,0.0,100811600000.0
13,1986,110.14914622813843,3.57858741519746,10183316,9977564,16898849,3262030,20160879,0.0,117460200000.0
14,1987,109.30401366353544,3.51480018991794,10545806,10336289,17482280,3399814,20882094,0.0,131155799999.99998
15,1988,108.37532821625433,3.50098905227389,10919898,10706223,18083114,3543008,21626122,0.0,148283780000.0
16,1989,107.3032250250566,3.46143657685424,11302974,11084829,18697174,3690629,22387803,0.0,170404100000.0
17,1990,106.05358327307717,3.40083169114175,11692664,11469606,19283052,3879217,23162269,0.0,196433610000.0
18,1991,104.79224382897971,3.21165201895544,12073477,11844758,19841850,4076385,23918235,0.0,224230069300.0
19,1992,103.51538462617869,3.03679051921495,12445537,12210186,20379928,4275795,24655723,0.0,264471872700.0
20,1993,102.14223482665264,2.94184248128658,12817038,12574792,20911442,4480388,25391830,0.0,333611292400.0
21,1994,100.68455649155679,2.87998841109113,13191070,12942673,21442214,4691530,26133744,0.0,400657837200.0
22,1995,99.26694464434557,2.8093665377808,13566081,13312267,21969554,4908793,26878347,0.000727482,465250740000.0
23,1996,97.94653585937404,2.70647369514666,13937256,13678480,22485008,5130728,27615736,0.008839115,687998000000.0
24,1997,96.62045278709532,2.67442877916419,14313761,14050503,23003985,5360279,28364264,0.034406051,770313000000.0
25,1998,95.35253047244578,2.68916027366031,14701779,14435594,23536587,5600786,29137373,0.050261388,850808200000.0
26,1999,93.98825445504264,2.80126932153904,15116098,14849031,24106946,5858183,29965129,0.114256028,906927630000.0
27,2000,92.5138535679197,2.91544684198394,15558445,15293161,24714605,6137001,30851606,0.318059714,967836930000.0
28,2001,91.01311603242888,3.02882685482353,16030683,15769661,25364272,6436071,31800343,0.619782266,1020221000000.0
29,2002,89.5878189342111,3.03360977756994,16517681,16262141,26030130,6749693,32779823,1.207773885,1035373000000.0
30,2003,88.29763487054062,2.96744335273422,17008340,16758781,26693585,7073537,33767122,2.941902861,1131782000000.0
31,2004,87.09425906922321,2.98951543624097,17517645,17274191,27377696,7414140,34791836,3.023528042,1274329000000.0
32,2005,86.09694286156198,2.97658073983056,18040263,17802747,28074038,7768972,35843010,3.101897702,1415725000000.0
33,2006,85.31231900179249,2.97471111652036,18579218,18346035,28785081,8140172,36925253,3.6,1862041000000.0
34,2007,84.7195990566851,2.96582480091057,19133373,18903421,29508944,8527849,38036793,4.4,2151349000000.0
35,2008,84.21215776202907,2.97884515479232,19707234,19479661,30252283,8934612,39186895,5.2,2483058000000.0
36,2009,83.68294171976018,2.96069187652137,20296096,20068349,31006755,9357689,40364444,6.1,3275642000000.0
37,2010,83.14509867927691,2.8175240671163,20875000,20642895,31731712,9786183,41517895,7.2,3597630000000.0
38,2011,82.53963292939557,2.65543505812038,21439190,21195954,32415926,10219218,42635144,8.8,4162514000000.0
39,2012,81.81869062518113,2.52595644302294,21992229,21733578,33067204,10658602,43725806,10.5,4767191000000.0
40,2013,80.94236702519693,2.40993136403743,22533107,22259261,33686548,11105820,44792368,13.0,5311322000000.0
41,2014,79.93587664823278,2.2941780158286,23061826,22770037,34272609,11559254,45831863,16.5,6003835000000.0
42,2015,78.79916114753894,2.20032211952888,23582948,23268540,34830333,12021155,46851488,16.58785485,6884317000000.0
43,2016,77.51572124825007,2.20214556198549,24114618,23780053,35391766,12502904,47894670,16.6,7594064000000.0
44,2017,76.14604549484025,2.17570842690355,24652004,24296132,35946533,13001604,48948137,17.82710021,8483396000000.0
45,2018,74.74789517051154,2.03273400450275,25168522,24784782,36450926,13502378,49953304,19.5,9340307000000.0
46,2019,73.28759487268333,1.97845694844255,25679257,25272193,36936235,14015215,50951450,22.66877336,10237727000000.0
47,2020,71.75075400206944,2.00970011079671,26205082,25780698,37432361,14553419,51985780,25.53293999,10715070000000.0
48,2021,70.18068834842943,1.94276128252757,26726429,26279184,37902724,15102890,53005614,28.75752799,12027662000000.0
49,2022,68.58994209822146,1.90951031059953,27249938,26777549,38358435,15669052,54027487,0.0,13368340000000.0
